rot_x,rot_y,rot_z,LSTQ,S_assoc,things_iou,stuff_iou,S_cls
0,0,0,0.5952,0.6156,0.3165,0.7639,0.5755
0,0,5,0.3536,0.3032,0.2343,0.5043,0.4124
0,0,10,0.1986,0.1476,0.1482,0.3294,0.2672
0,0,15,0.1216,0.0749,0.1074,0.2448,0.1974
0,0,20,0.0843,0.049,0.0748,0.1962,0.1451
0,0,330,0.0503,0.027,0.0209,0.1467,0.0937
0,0,30,0.05,0.0247,0.0359,0.1493,0.1015
0,0,45,0.0326,0.0159,0.0101,0.1022,0.067
0,0,315,0.0242,0.009,0.0074,0.1002,0.0645
0,0,55,0.0231,0.0104,0.0082,0.0823,0.0511
0,0,180,0.0211,0.008,0.0038,0.0882,0.0556
0,0,90,0.0176,0.0069,0.0084,0.0673,0.0448
0,0,300,0.0167,0.0059,0.0054,0.0772,0.047
0,0,150,0.0159,0.0056,0.0037,0.071,0.0451
